epoch,accuracy,loss,val_accuracy,val_loss
0,0.9523269534111023,0.1427343487739563,0.9328493475914001,0.204538494348526
1,0.9575433135032654,0.13294632732868195,0.9553539156913757,0.1495935618877411
2,0.9590401649475098,0.12293603271245956,0.8362976312637329,0.3332241475582123
3,0.9628957509994507,0.1176847517490387,0.9277676939964294,0.2152416855096817
4,0.9555021524429321,0.13627010583877563,0.8602541089057922,0.4216126799583435
0,0.9628503918647766,0.1104486733675003,0.7081669569015503,0.45012396574020386
1,0.9658441543579102,0.10391148179769516,0.761524498462677,0.4515259563922882
2,0.9661616683006287,0.0960393026471138,0.931034505367279,0.21468721330165863
3,0.9686110615730286,0.09420332312583923,0.832667887210846,0.37156981229782104
4,0.9680213928222656,0.09098096191883087,0.9266787767410278,0.21569600701332092
0,0.9740996360778809,0.07687944918870926,0.7760435342788696,0.4428928792476654
1,0.9768211841583252,0.06541693210601807,0.9509981870651245,0.1756482869386673
2,0.9810850024223328,0.05536404624581337,0.9441016316413879,0.19377925992012024
3,0.9785902500152588,0.0612327866256237,0.9103448390960693,0.24396002292633057
